Frame Number,Timestamp (s),Confidence
1,0.041666666666666664,0.9853617
2,0.08333333333333333,0.9843982
3,0.125,0.9830813
4,0.16666666666666666,0.98486495
5,0.20833333333333334,0.9859015
6,0.25,0.9863115
6,0.25,0.98569006
8,0.3333333333333333,0.98534864
9,0.375,0.9855796
10,0.4166666666666667,0.9854037
11,0.4583333333333333,0.98639464
12,0.5,0.9861405
13,0.5416666666666666,0.9866217
13,0.5416666666666666,0.98697114
15,0.625,0.9869897
16,0.6666666666666666,0.9862643
17,0.7083333333333334,0.9869892
18,0.75,0.9862493
19,0.7916666666666666,0.9870091
20,0.8333333333333334,0.9871128
21,0.875,0.98505104
22,0.9166666666666666,0.9575796
23,0.9583333333333334,0.96349525
24,1.0,0.94665635
24,1.0,0.8943526
26,1.0833333333333333,0.85955274
27,1.125,0.8553251
27,1.125,0.8426537
29,1.2083333333333333,0.8030113
30,1.25,0.7844826
30,1.25,0.79486203
32,1.3333333333333333,0.8021073
33,1.375,0.8028186
34,1.4166666666666667,0.78248596
35,1.4583333333333333,0.7782003
36,1.5,0.80638427
37,1.5416666666666667,0.77412015
38,1.5833333333333333,0.7598528
39,1.625,0.7226683
40,1.6666666666666667,0.7645048
41,1.7083333333333333,0.815252
42,1.75,0.88255894
43,1.7916666666666667,0.8383743
44,1.8333333333333333,0.8560763
45,1.875,0.9204153
46,1.9166666666666667,0.9288307
47,1.9583333333333333,0.9203952
48,2.0,0.8888061
49,2.0416666666666665,0.8857105
49,2.0416666666666665,0.8835495
51,2.125,0.831846
52,2.1666666666666665,0.86491907
52,2.1666666666666665,0.8811967
54,2.25,0.89256084
55,2.2916666666666665,0.9013094
55,2.2916666666666665,0.9070555
57,2.375,0.9233609
58,2.4166666666666665,0.91902596
58,2.4166666666666665,0.899664
60,2.5,0.8958019
61,2.5416666666666665,0.90298724
61,2.5416666666666665,0.8940782
63,2.625,0.8901635
64,2.6666666666666665,0.898436
65,2.7083333333333335,0.8928111
66,2.75,0.8872304
67,2.7916666666666665,0.9016623
68,2.8333333333333335,0.90466875
69,2.875,0.92427456
70,2.9166666666666665,0.9210436
71,2.9583333333333335,0.90488803
72,3.0,0.89975816
73,3.0416666666666665,0.90866834
74,3.0833333333333335,0.90215975
75,3.125,0.89417595
76,3.1666666666666665,0.8914948
77,3.2083333333333335,0.8999888
78,3.25,0.89336425
79,3.2916666666666665,0.90637183
80,3.3333333333333335,0.91811484
81,3.375,0.93162805
82,3.4166666666666665,0.9146454
83,3.4583333333333335,0.90608704
84,3.5,0.89766073
85,3.5416666666666665,0.9014019
86,3.5833333333333335,0.89479595
87,3.625,0.8861436
88,3.6666666666666665,0.8841755
89,3.7083333333333335,0.8824153
90,3.75,0.88348716
91,3.7916666666666665,0.89860696
92,3.8333333333333335,0.90483916
93,3.875,0.92631483
94,3.9166666666666665,0.9083192
95,3.9583333333333335,0.9022204
96,4.0,0.8950421
96,4.0,0.90281445
98,4.083333333333333,0.8256238
99,4.125,0.779873
99,4.125,0.6510545
101,4.208333333333333,0.6961752
105,4.375,0.8660718
105,4.375,0.87456584
107,4.458333333333333,0.8663034
108,4.5,0.8784534
108,4.5,0.89626896
110,4.583333333333333,0.9101468
111,4.625,0.90470195
111,4.625,0.94093215
113,4.708333333333333,0.9286861
114,4.75,0.9286928
114,4.75,0.91754776
116,4.833333333333333,0.90699637
117,4.875,0.8980335
117,4.875,0.895145
119,4.958333333333333,0.89443517
120,5.0,0.9198629
120,5.0,0.9132445
122,5.083333333333333,0.9136061
123,5.125,0.9082549
123,5.125,0.9390781
125,5.208333333333333,0.9269731
126,5.25,0.930731
126,5.25,0.920205
128,5.333333333333333,0.9076911
129,5.375,0.8991529
130,5.416666666666667,0.90424883
131,5.458333333333333,0.9029208
132,5.5,0.9171196
133,5.541666666666667,0.9142948
134,5.583333333333333,0.91997784
135,5.625,0.91480917
136,5.666666666666667,0.94590116
137,5.708333333333333,0.944589
138,5.75,0.92812634
139,5.791666666666667,0.9171465
140,5.833333333333333,0.9136104
141,5.875,0.89047295
142,5.916666666666667,0.88796526
143,5.958333333333333,0.8929364
144,6.0,0.9087415
145,6.041666666666667,0.8260039
146,6.083333333333333,0.77475643
147,6.125,0.76669866
148,6.166666666666667,0.9149312
149,6.208333333333333,0.9203226
150,6.25,0.9138829
151,6.291666666666667,0.92650634
152,6.333333333333333,0.9200549
153,6.375,0.9057103
154,6.416666666666667,0.91858226
155,6.458333333333333,0.9151707
156,6.5,0.89222336
157,6.541666666666667,0.9044573
158,6.583333333333333,0.9044019
159,6.625,0.91897404
160,6.666666666666667,0.9267903
161,6.708333333333333,0.9231706
162,6.75,0.9135157
163,6.791666666666667,0.9263034
164,6.833333333333333,0.91610706
165,6.875,0.90272695
166,6.916666666666667,0.9082018
167,6.958333333333333,0.9030622
168,7.0,0.91427386
169,7.041666666666667,0.92247444
170,7.083333333333333,0.9096119
171,7.125,0.9041233
172,7.166666666666667,0.91524035
173,7.208333333333333,0.91354513
174,7.25,0.89178663
175,7.291666666666667,0.84760565
176,7.333333333333333,0.857646
177,7.375,0.82271355
178,7.416666666666667,0.8345236
179,7.458333333333333,0.8497617
180,7.5,0.8184968
181,7.541666666666667,0.858162
182,7.583333333333333,0.84811544
183,7.625,0.77592427
184,7.666666666666667,0.7846078
185,7.708333333333333,0.8121317
186,7.75,0.82587546
187,7.791666666666667,0.81951684
188,7.833333333333333,0.8550958
189,7.875,0.8059175
190,7.916666666666667,0.8334125
191,7.958333333333333,0.8203209
192,8.0,0.75021726
193,8.041666666666666,0.7475826
193,8.041666666666666,0.77601075
195,8.125,0.8055498
196,8.166666666666666,0.82133204
196,8.166666666666666,0.84249496
198,8.25,0.7994387
199,8.291666666666666,0.8307848
199,8.291666666666666,0.7988466
201,8.375,0.8204973
202,8.416666666666666,0.55818605
202,8.416666666666666,0.54776263
207,8.625,0.74865913
208,8.666666666666666,0.69529396
208,8.666666666666666,0.69258296
220,9.166666666666666,0.7766589
220,9.166666666666666,0.42182985
222,9.25,0.43706834
333,13.875,0.93069667
334,13.916666666666666,0.96852744
335,13.958333333333334,0.97159415
336,14.0,0.97563577
337,14.041666666666666,0.9815757
338,14.083333333333334,0.9850898
339,14.125,0.98609143
340,14.166666666666666,0.987628
